2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S112
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1131
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2068
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1134
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S4524
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1135
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-web:InsufficientBranchCoverage
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-web:InsufficientLineCoverage
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-web:InsufficientCommentDensity
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-web:DuplicatedBlocks
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-web:SkippedUnitTests
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-web:FailedUnitTests
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule typescript:S4275
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule typescript:S138
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule typescript:S4030
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule typescript:S3504
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule typescript:S3626
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule typescript:S2933
